event,group_size,FRUgMn
LSZ2,CenDiaLg,1.232716396
LSZ2,CenDiaSm,0.34217601
LSZ2,ChlLg,
LSZ2,ChlSm,
LSZ2,ChnDiaLg,
LSZ2,ChnDiaSm,
LSZ2,CilLg,0.069955206
LSZ2,CilSm,0.011183206
LSZ2,CyanoLg,
LSZ2,CyanoSm,
LSZ2,DinoLg,
LSZ2,FlagLg,
LSZ2,FlagSm,0.057933648
LSZ2,PenDiaLg,
LSZ2,PenDiaSm,0.000908798
LSZ2,UnidLg,
LSZ2,UnidSm,0.000995666
SJR1,CenDiaLg,1.195213429
SJR1,CenDiaSm,0.090824773
SJR1,ChlLg,
SJR1,ChlSm,
SJR1,ChnDiaLg,
SJR1,ChnDiaSm,
SJR1,CilLg,0.10853323
SJR1,CilSm,0.066134396
SJR1,CyanoLg,
SJR1,CyanoSm,
SJR1,DinoLg,
SJR1,FlagLg,
SJR1,FlagSm,0.005238251
SJR1,PenDiaLg,
SJR1,PenDiaSm,2.43252E-05
SJR1,UnidLg,-0.085378522
SJR1,UnidSm,-0.004561755
SJR2,CenDiaLg,0.042996184
SJR2,CenDiaSm,0.017583693
SJR2,ChlLg,
SJR2,ChlSm,0.000717204
SJR2,ChnDiaLg,
SJR2,ChnDiaSm,
SJR2,CilLg,0.045722668
SJR2,CilSm,0.015273213
SJR2,CyanoLg,0.023239637
SJR2,CyanoSm,
SJR2,DinoLg,
SJR2,FlagLg,
SJR2,FlagSm,0.041718022
SJR2,PenDiaLg,
SJR2,PenDiaSm,0.002060083
SJR2,UnidLg,
SJR2,UnidSm,0.010913755
WLD2,CenDiaLg,0.008484122
WLD2,CenDiaSm,-0.001208396
WLD2,ChlLg,
WLD2,ChlSm,-0.000227715
WLD2,ChnDiaLg,
WLD2,ChnDiaSm,
WLD2,CilLg,0.048279831
WLD2,CilSm,0.021541345
WLD2,CyanoLg,
WLD2,CyanoSm,
WLD2,DinoLg,
WLD2,FlagLg,
WLD2,FlagSm,-0.006758429
WLD2,PenDiaLg,
WLD2,PenDiaSm,0.000554242
WLD2,UnidLg,
WLD2,UnidSm,-0.005408094
YBP1,CenDiaLg,
YBP1,CenDiaSm,0.000547352
YBP1,ChlLg,
YBP1,ChlSm,0.000306607
YBP1,ChnDiaLg,
YBP1,ChnDiaSm,
YBP1,CilLg,0.053499337
YBP1,CilSm,0.008898071
YBP1,CyanoLg,
YBP1,CyanoSm,0.001263257
YBP1,DinoLg,
YBP1,FlagLg,
YBP1,FlagSm,0.042805584
YBP1,PenDiaLg,0.002880319
YBP1,PenDiaSm,0.000377767
YBP1,UnidLg,0.000307138
YBP1,UnidSm,0.003598401
YBP2,CenDiaLg,0.440105104
YBP2,CenDiaSm,0.498765796
YBP2,ChlLg,
YBP2,ChlSm,0.010053717
YBP2,ChnDiaLg,0.069381708
YBP2,ChnDiaSm,
YBP2,CilLg,3.75309264
YBP2,CilSm,0.177707312
YBP2,CyanoLg,-0.294251762
YBP2,CyanoSm,
YBP2,DinoLg,
YBP2,FlagLg,0.252415913
YBP2,FlagSm,0.04695361
YBP2,PenDiaLg,0.097054927
YBP2,PenDiaSm,0.020712664
YBP2,UnidLg,0.003084479
YBP2,UnidSm,0.044707187